date,time,latitude_weather,longitude_weather,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,et0_fao_evapotranspiration,vapour_pressure_deficit,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_direction_100m,wind_gusts_10m,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_temperature_28_to_100cm,soil_temperature_100_to_255cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,soil_moisture_28_to_100cm,soil_moisture_100_to_255cm,date_time,is_possible_ff,target,latitude_nasa,longitude_nasa,scan,track,acq_date,acq_time,satellite,instrument,confidence,daynight,state,round_time
2022-06-20,07:00:00,34.785799,-110.044871,18.348999,34.967243,2.599,14.959621,0.0,0.0,0.0,0.0,0.0,1014.1,846.04,0.0,0.0,0.0,0.0,0.08628365,1.3732489,11.659777,18.671474,188.88058,199.13374,16.56,21.949,27.348999,24.149,15.899,0.027,0.106,0.131,0.184,2022-06-20 07:00:00,False,0,,,,,,,,,,,,
2022-06-20,08:00:00,34.785799,-110.044871,17.199,37.861168,2.6990001,13.995144,0.0,0.0,0.0,0.0,0.0,1014.3,845.61,0.0,0.0,0.0,0.0,0.071064934,1.220571,10.514218,17.610588,218.04709,220.85529,16.199999,20.598999,27.149,24.149,15.899,0.027,0.106,0.131,0.184,2022-06-20 08:00:00,False,0,,,,,,,,,,,,
2022-06-20,09:00:00,34.785799,-110.044871,16.199,39.352432,2.349,12.805092,0.0,0.0,0.0,0.0,0.0,1014.3,845.0877,0.0,0.0,0.0,0.0,0.07233909,1.1180661,11.384198,18.089775,214.69522,222.58046,15.84,19.348999,26.949,24.149,15.899,0.027,0.106,0.131,0.184,2022-06-20 09:00:00,False,0,,,,,,,,,,,,
2022-06-20,10:00:00,34.785799,-110.044871,15.399,40.397713,1.9990001,11.963284,0.0,0.0,0.0,0.0,0.0,1014.7,845.00073,0.0,0.0,0.0,0.0,0.068138376,1.0440586,11.246759,18.584509,219.80553,224.21526,15.84,18.249,26.699,24.149,15.948999,0.027,0.106,0.131,0.184,2022-06-20 10:00:00,False,0,,,,,,,,,,,,
2022-06-20,11:00:00,34.785799,-110.044871,14.649,41.495525,1.699,11.152952,0.0,0.0,0.0,0.0,0.0,1014.9,844.77124,0.0,0.0,0.0,0.0,0.06524128,0.9766044,11.304229,18.335276,217.23491,223.4089,15.84,17.299,26.449,24.149,15.948999,0.027,0.106,0.131,0.184,2022-06-20 11:00:00,False,0,,,,,,,,,,,,
2022-06-20,12:00:00,34.785799,-110.044871,13.599,63.055496,6.699,11.535357,0.0,0.0,0.0,0.0,0.0,1016.0,845.12866,0.0,0.0,0.0,0.0,0.021893805,0.5761381,8.39657,15.349684,239.0363,230.7106,15.4800005,15.899,26.199,24.149,15.948999,0.038,0.109,0.132,0.184,2022-06-20 12:00:00,False,0,,,,,,,,,,,,
2022-06-20,13:00:00,34.785799,-110.044871,13.948999,55.376945,5.1489997,11.743971,0.0,0.0,0.0,0.0,0.0,1017.0,846.14716,0.0,0.0,0.0,0.0,0.042021014,0.7118963,6.989936,9.114471,304.50858,279.09018,10.799999,15.549,25.899,24.149,15.948999,0.038,0.109,0.132,0.184,2022-06-20 13:00:00,False,0,,,,,,,,,,,,
2022-06-20,14:00:00,34.785799,-110.044871,15.749,45.189323,3.899,13.606308,0.0,0.0,0.0,0.0,0.0,1018.0,847.9336,0.0,0.0,0.0,0.0,0.11271697,0.98184174,4.802999,8.587338,347.00537,326.97614,11.5199995,16.699,25.649,24.098999,15.948999,0.038,0.109,0.132,0.184,2022-06-20 14:00:00,False,0,,,,,,,,,,,,
2022-06-20,15:00:00,34.785799,-110.044871,18.299,32.083847,1.349,15.700951,0.0,0.0,0.0,0.0,0.0,1018.4,849.6013,0.0,0.0,0.0,0.0,0.24559245,1.4296786,4.73506,5.506941,351.2539,348.6901,12.599999,19.449,25.449,24.098999,15.948999,0.037,0.109,0.132,0.184,2022-06-20 15:00:00,False,0,,,,,,,,,,,,
2022-06-20,16:00:00,34.785799,-110.044871,20.699,24.267607,-0.451,17.621544,0.0,0.0,0.0,0.0,0.0,1018.0,850.5042,1.0,0.0,1.0,0.0,0.40796322,1.8503532,8.350138,9.028754,352.5687,355.42615,18.72,23.049,25.299,24.098999,15.948999,0.036,0.109,0.132,0.184,2022-06-20 16:00:00,False,0,,,,,,,,,,,,
