date,time,latitude_weather,longitude_weather,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,et0_fao_evapotranspiration,vapour_pressure_deficit,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_direction_100m,wind_gusts_10m,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_temperature_28_to_100cm,soil_temperature_100_to_255cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,soil_moisture_28_to_100cm,soil_moisture_100_to_255cm,date_time,is_possible_ff,target,latitude_nasa,longitude_nasa,scan,track,acq_date,acq_time,satellite,instrument,confidence,daynight,state,round_time
2022-06-21,07:00:00,39.230265,-119.660865,17.042,20.780012,-5.6080003,13.077587,0.0,0.0,0.0,0.0,0.0,1018.5,856.6003,0.0,0.0,0.0,0.0,0.07034717,1.5407704,7.653705,14.565548,48.814175,50.013176,21.599998,20.542,20.842,18.192,12.342,0.024,0.111,0.269,0.392,2022-06-21 07:00:00,False,0,,,,,,,,,,,,
2022-06-21,08:00:00,39.230265,-119.660865,15.992001,23.07308,-5.1080003,11.898174,0.0,0.0,0.0,0.0,0.0,1018.6,856.1547,0.0,0.0,0.0,0.0,0.07675746,1.3996232,8.913181,14.336861,43.36347,38.884502,22.319998,18.792,20.792,18.192,12.342,0.024,0.111,0.269,0.392,2022-06-21 08:00:00,False,0,,,,,,,,,,,,
2022-06-21,09:00:00,39.230265,-119.660865,16.092,22.839718,-5.158,12.1363125,0.0,0.0,0.0,0.0,0.0,1019.0,856.5417,0.0,0.0,0.0,0.0,0.06861048,1.4128497,7.928177,11.792404,39.47243,31.263678,22.68,17.192,20.692,18.192,12.342,0.024,0.111,0.269,0.392,2022-06-21 09:00:00,False,0,,,,,,,,,,,,
2022-06-21,10:00:00,39.230265,-119.660865,17.241999,20.675123,-5.508,13.469683,0.0,0.0,0.0,0.0,0.0,1019.3,857.37354,0.0,0.0,0.0,0.0,0.058553018,1.5624437,6.4096174,10.00256,38.157276,30.256361,19.8,15.742001,20.592,18.192,12.392,0.024,0.111,0.269,0.392,2022-06-21 10:00:00,False,0,,,,,,,,,,,,
2022-06-21,11:00:00,39.230265,-119.660865,16.442,21.916935,-5.408,12.815599,0.0,0.0,0.0,0.0,0.0,1019.7,857.3069,0.0,0.0,0.0,0.0,0.046853192,1.4619559,5.4833565,8.891344,23.198618,21.370695,17.28,14.392,20.491999,18.192,12.392,0.024,0.111,0.269,0.392,2022-06-21 11:00:00,False,0,,,,,,,,,,,,
2022-06-21,12:00:00,39.230265,-119.660865,14.892,26.00374,-4.458,11.835133,0.0,0.0,0.0,0.0,0.0,1020.5,857.1922,0.0,0.0,0.0,0.0,0.010117202,1.2546926,2.3051248,4.0249224,38.65983,26.564985,14.759999,12.292001,20.241999,18.192,12.392,0.028,0.117,0.272,0.392,2022-06-21 12:00:00,False,0,,,,,,,,,,,,
2022-06-21,13:00:00,39.230265,-119.660865,13.742001,28.22305,-4.3580003,10.9279175,0.0,0.0,0.0,0.0,0.0,1021.0,857.0228,0.0,0.0,0.0,0.0,0.015181924,1.1298751,0.71999997,2.9024127,90.0,29.744795,9.0,11.392,20.092,18.192,12.392,0.028,0.117,0.272,0.392,2022-06-21 13:00:00,False,0,,,,,,,,,,,,
2022-06-21,14:00:00,39.230265,-119.660865,13.642,28.837132,-4.158,10.790231,0.0,0.0,0.0,0.0,0.0,1021.6,857.47504,0.0,0.0,0.0,0.0,0.03820342,1.112958,1.1384199,1.2979984,161.56496,33.6901,7.5599995,11.842,19.892,18.192,12.392,0.028,0.117,0.272,0.392,2022-06-21 14:00:00,False,0,,,,,,,,,,,,
2022-06-21,15:00:00,39.230265,-119.660865,16.042,24.799532,-4.1080003,13.151958,0.0,0.0,0.0,0.0,0.0,1021.9,858.9538,0.0,0.0,0.0,0.0,0.14902824,1.3725908,1.4399999,2.5455842,360.0,8.130019,9.36,14.142,19.792,18.192,12.392,0.028,0.117,0.272,0.392,2022-06-21 15:00:00,False,0,,,,,,,,,,,,
2022-06-21,16:00:00,39.230265,-119.660865,18.092,21.617897,-4.208,14.283833,0.0,0.0,0.0,0.0,0.0,1021.5,859.6511,0.0,0.0,0.0,0.0,0.31932634,1.6287636,7.653705,9.449572,48.814175,49.635548,20.16,17.642,19.692,18.192,12.392,0.028,0.117,0.272,0.392,2022-06-21 16:00:00,False,0,,,,,,,,,,,,
